Symbol,Company Name, Lead Market Maker
CNAT,"CONATUS PHARMACEUTIC","SUSQUEHANNA SECURITIES"
CNC,"CENTENE CORP","GOLDMAN, SACHS & CO."
CNI,"CANADIAN NATL RAILWY","WOLVERINE TRADING, LLC"
CNL,"CLECO CORPORATION","*** No LMM ***"
CNP,"CENTERPOINT ENERGY","WOLVERINE TRADING, LLC"
CNQ,"CANADIAN NAT RES","WOLVERINE TRADING, LLC"
CNX,"CONS ENERGY INC","WOLVERINE TRADING, LLC"
COF,"CAPITAL ONE FINANCIA","SUSQUEHANNA SECURITIES"
COG,"CABOT OIL GAS CP","WOLVERINE TRADING, LLC"
COH,"COACH INC","SUSQUEHANNA SECURITIES"
COL,"ROCKWELL COLLINS INC","CITADEL SECURITIES LLC"
COLM,"COLUMBIA SPRTSWR","*** No LMM ***"
COMM,"COMMSCOPE HOLDING CO","CITADEL SECURITIES LLC"
CONE,"CYRUSONE INC CMN","*** No LMM ***"
CONN,"CONN'S, INC.","MORGAN STANLEY & CO. LLC"
COO,"COOPER COS INC","*** No LMM ***"
COP,"CONOCOPHILLIPS","MORGAN STANLEY & CO. LLC"
CORN,"TEUCRIUM CORN FUND","CITADEL SECURITIES LLC"
COST,"COSTCO WHOLESALE","WOLVERINE TRADING, LLC"
COT,"COTT CP","*** No LMM ***"
COTY,"COTY INC.","CITADEL SECURITIES LLC"
CP,"CANADIAN PAC RAILWAY","MORGAN STANLEY & CO. LLC"
CPA,"COPA HOLDINGS S.A.","*** No LMM ***"
CPB,"CAMPBELL SOUP CO","WOLVERINE TRADING, LLC"
CPE,"CALLON PETROLEUM","WOLVERINE TRADING, LLC"
CPLP,"CAPITAL PRODUCT PART","*** No LMM ***"
CPN,"CALPINE CORP","TIMBER HILL LLC"
CPRT,"COPART, INC.","SUSQUEHANNA SECURITIES"
CQP,"CHENIERE ENERGY LP","MORGAN STANLEY & CO. LLC"
CRAY,"CRAY INC","CITADEL SECURITIES LLC"
CRC,"CALIFORNIA RES CP","*** No LMM ***"
CREE,"CREE, INC.","WOLVERINE TRADING, LLC"
CRI,"CARTER'S INC","SUSQUEHANNA SECURITIES"
CRIS,"CURIS INC","*** No LMM ***"
CRK,"COMSTOCK RES","SUSQUEHANNA SECURITIES"
CRM,"SALESFORCE.COM INC","SUSQUEHANNA SECURITIES"
CRME,"CARDIOME PHARMA CORP","*** No LMM ***"
CROX,"CROCS, INC.","SUSQUEHANNA SECURITIES"
CRR,"CARBO CERAMICS INC","MORGAN STANLEY & CO. LLC"
CRTO,"CRITEO S.A. ADS","*** No LMM ***"
CRUS,"CIRRUS LOGIC INC","SUSQUEHANNA SECURITIES"
CRZO,"CARRIZO OIL & GAS","CITADEL SECURITIES LLC"
CSC,"COMPUTER SCIENCES CP","SUSQUEHANNA SECURITIES"
CSCO,"CISCO SYSTEMS INC","CITADEL SECURITIES LLC"
CSH,"CASH AMER INTL INC","*** No LMM ***"
CSIQ,"CANADIAN SOLAR INC.","SUSQUEHANNA SECURITIES"
CSLT,"Castlight Health Inc","SUSQUEHANNA SECURITIES"
CSOD,"CORNERSTONE ONDEMAND","SUSQUEHANNA SECURITIES"
CST,"CST BRANDS, INC.","*** No LMM ***"
CSTE,"CAESARSTONE SDOT-YAM","MORGAN STANLEY & CO. LLC"
CSTM,"CONSTELLIUM N.V.","WOLVERINE TRADING, LLC"
CSU,"CAPITAL SR LIVING CP","CITADEL SECURITIES LLC"
CSX,"CSX CORPORATION","CITADEL SECURITIES LLC"
CTAS,"CINTAS CORP","GOLDMAN, SACHS & CO."
CTB,"COOPER TIRE RUBBER","CITADEL SECURITIES LLC"
CTIC,"CTI BIOPHARM CORP.","CITADEL SECURITIES LLC"
CTL,"CENTURYLINK, INC","SUSQUEHANNA SECURITIES"
CTRL,"CONTROL4 CORPORATION","*** No LMM ***"
CTRP,"CTRIP.COM INTL LTD","WOLVERINE TRADING, LLC"
CTSH,"COGNIZANT TECH SOL","WOLVERINE TRADING, LLC"
CTXS,"CITRIX SYSTEMS INC","CITADEL SECURITIES LLC"
CUDA,"BARRACUDA NETWORKS","CITADEL SECURITIES LLC"
CUR,"NEURALSTEM INC","CITADEL SECURITIES LLC"
CVA,"COVANTA HLD CP","WOLVERINE TRADING, LLC"
CVC,"CABLEVISION SYSTEM","*** No LMM ***"
CVE,"CENOVUS ENERGY INC","CITADEL SECURITIES LLC"
CVEO,"Civeo Corporation","CITADEL SECURITIES LLC"
CVI,"CVR ENERGY INC","MORGAN STANLEY & CO. LLC"
CVLT,"COMMVAULT SYSTEMS","WOLVERINE TRADING, LLC"
CVRR,"CVR REFINING, LP","CITADEL SECURITIES LLC"
CVS,"CVS HEALTHCP","WOLVERINE TRADING, LLC"
CVX,"CHEVRON CORP","CITADEL SECURITIES LLC"
CX,"CEMEX SAB DE CV ADR","WOLVERINE TRADING, LLC"
CXDC,"CHINA XD PLASTICS CO","SUSQUEHANNA SECURITIES"
CXO,"CONCHO RESOURCES INC","GOLDMAN, SACHS & CO."
CXW,"CORRECTIONS CORP AM","TIMBER HILL LLC"
CY,"CYPRESS SEMICONDUCTR","*** No LMM ***"
CYBR,"CYBERARK SOFT ORD","*** No LMM ***"
CYH,"COMMUNITY HEALTH","CITADEL SECURITIES LLC"
CYOU,"CHANGYOU.COM LIMITED","WOLVERINE TRADING, LLC"
CYS,"CYS INVESTMENTS, INC","MORGAN STANLEY & CO. LLC"
CYTK,"CYTOKINETICS","CITADEL SECURITIES LLC"
CYTR,"CYTRX CP","SUSQUEHANNA SECURITIES"
CYTX,"CYTORI THERAPEUTICS","*** No LMM ***"
CZR,"CAESARS ENTERTNMT","WOLVERINE TRADING, LLC"
D,"DOMINION RES NEW","WOLVERINE TRADING, LLC"
DAL,"DELTA AIR LINES, INC","MORGAN STANLEY & CO. LLC"
DAN,"DANA HOLDING CP","WOLVERINE TRADING, LLC"
DANG,"E-COMMERCE CHINA","WOLVERINE TRADING, LLC"
DAR,"DARLING INGREDIENTS","MORGAN STANLEY & CO. LLC"
DATA,"TABLEAU SOFTWARE INC","SUSQUEHANNA SECURITIES"
DATE,"JIAYUAN.COM INTERNAT","*** No LMM ***"
DB,"DEUTSCHE BANK AG","MORGAN STANLEY & CO. LLC"
DBA,"POWERSHARES DB AGRIC","MORGAN STANLEY & CO. LLC"
DBD,"DIEBOLD INC","WOLVERINE TRADING, LLC"
DCTH,"DELCATH SYSTEMS INC","SUSQUEHANNA SECURITIES"
DD,"DU PONT E I DE NEM","SUSQUEHANNA SECURITIES"
DDD,"3 D  SYSTEMS CP","GOLDMAN, SACHS & CO."
DDR,"DDR Corp.","*** No LMM ***"
DDS,"DILLARD'S INC","SUSQUEHANNA SECURITIES"
DE,"DEERE CO","WOLVERINE TRADING, LLC"
DECK,"DECKERS OUTDOOR CP","SUSQUEHANNA SECURITIES"
DENN,"DENNYS CORP","*** No LMM ***"
DEO,"DIAGEO PLC ADS NEW","MORGAN STANLEY & CO. LLC"
DEPO,"DEPOMED INC","MORGAN STANLEY & CO. LLC"
DF,"DEAN FOODS CO","WOLVERINE TRADING, LLC"
DFRG,"DEL FRISCO'S RESTRNT","*** No LMM ***"
DFS,"DISCOVER FIN SVCS","WOLVERINE TRADING, LLC"
DG,"DOLLAR GENERAL CORP","WOLVERINE TRADING, LLC"
DGI,"DIGITALGLOBE, INC","SUSQUEHANNA SECURITIES"
DGX,"QUEST DIAGNOSTC","CITADEL SECURITIES LLC"
DHI,"D R HORTON INC","WOLVERINE TRADING, LLC"
DHR,"DANAHER CP","SUSQUEHANNA SECURITIES"
DHT,"DHT HOLDINGS, INC.","*** No LMM ***"
DIA,"SPDR DJIA ETF TRUST","WOLVERINE TRADING, LLC"
DIN,"DINEEQUITY, INC","*** No LMM ***"
DIS,"WALT DISNEY-DISNEY C","CITADEL SECURITIES LLC"
DISCA,"DISCOVERY COMM A","WOLVERINE TRADING, LLC"
DISCK,"DISCOVERY COMM INC","WOLVERINE TRADING, LLC"
DISH,"DISH NETWORK CORP","CITADEL SECURITIES LLC"
DK,"DELEK US HOLDINGS","*** No LMM ***"
DKS,"DICK'S SPORTING GDS","CITADEL SECURITIES LLC"
DLB,"DOLBY LABORATORIES","WOLVERINE TRADING, LLC"
DLPH,"DELPHI AUTOMOTIVE","MORGAN STANLEY & CO. LLC"
DLR,"DIGITAL REALTY TRUST","*** No LMM ***"
DLTR,"DOLLAR TREE INC","SUSQUEHANNA SECURITIES"
DMD,"DEMAND MEDIA INC.","*** No LMM ***"
DNB,"THE NEW D&B CORP","CITADEL SECURITIES LLC"
DNKN,"DUNKIN' BRANDS GROUP","MORGAN STANLEY & CO. LLC"
DNOW,"NOW INC.","*** No LMM ***"
DNR,"DENBURY RES INC","WOLVERINE TRADING, LLC"
DO,"DIAMOND OFFSHORE DRL","MORGAN STANLEY & CO. LLC"
DORM,"DORMAN PRODUCTS INC","CITADEL SECURITIES LLC"
DOV,"DOVER CP","SUSQUEHANNA SECURITIES"
DOW,"DOW CHEMICAL","WOLVERINE TRADING, LLC"
DPLO,"DIPLOMAT PHARMACY","*** No LMM ***"
DPM,"DCP MIDSTREAM LP","*** No LMM ***"
DPS,"DR PEPPER SNAPPLE GP","CITADEL SECURITIES LLC"
DPZ,"DOMINOS PIZZA INC","WOLVERINE TRADING, LLC"
DRI,"DARDEN RESTAURANTS","WOLVERINE TRADING, LLC"
DSCO,"DISCOVERY LABS INC","CITADEL SECURITIES LLC"
DSKY,"IDREAMSKY TECHNO ADS","*** No LMM ***"
DST,"DST SYSTEMS INC","CITADEL SECURITIES LLC"
DSW,"DSW INC.","SUSQUEHANNA SECURITIES"
DSX,"DIANA SHIPPING INC.","GOLDMAN, SACHS & CO."
DTE,"D T E ENERGY CO HLDG","*** No LMM ***"
DUK,"DUKE ENERGY CP HL CO","WOLVERINE TRADING, LLC"
DUST,"DXN DLY GLDMNR NDX B","SUSQUEHANNA SECURITIES"
DV,"DEVRY EDUCATION GRP","*** No LMM ***"
DVA,"DAVITA HEALTHCARE","TIMBER HILL LLC"
DVAX,"Dynavax Technologies","CITADEL SECURITIES LLC"
DVN,"DEVON ENERGY CP (OK)","CITADEL SECURITIES LLC"
DVY,"ISHARES SELECT DIVD","MORGAN STANLEY & CO. LLC"
DWA,"DREAMWORKS ANIMATION","MORGAN STANLEY & CO. LLC"
DWRE,"DEMANDWARE, INC.","*** No LMM ***"
DXCM,"DEXCOM","WOLVERINE TRADING, LLC"
DXD,"PROSHARES ULTRASHORT","TIMBER HILL LLC"
DXJ,"WISDOMTREE JAP HDG","WOLVERINE TRADING, LLC"
DYN,"DYNEGY INC.","CITADEL SECURITIES LLC"
EA,"ELECTRONIC ARTS INC","CITADEL SECURITIES LLC"
EAT,"BRINKER INTL INC","SUSQUEHANNA SECURITIES"
EBAY,"EBAY INC.","SUSQUEHANNA SECURITIES"
EBIX,"EBIX INC","MORGAN STANLEY & CO. LLC"
ECA,"ENCANA CORP","WOLVERINE TRADING, LLC"
ECHO,"Echo Global Logistic","*** No LMM ***"
ECL,"ECOLAB INC","CITADEL SECURITIES LLC"
ECOM,"CHANNELADVISOR CORP","SUSQUEHANNA SECURITIES"
ECR,"ECLIPSE RESOURCES CP","*** No LMM ***"
ECT,"ECA MARCELLUS TRST I","*** No LMM ***"
ECYT,"ENDOCYTE, INC","MORGAN STANLEY & CO. LLC"
ED,"CONS EDISON INC","TIMBER HILL LLC"
EDAP,"EDAP TMS SA ADR","*** No LMM ***"
EDC,"EMERGING MKTS BULL3X","SUSQUEHANNA SECURITIES"
EDU,"NEW ORIENTAL EDUCATI","*** No LMM ***"
EEFT,"EURONET WORLDWIDE","*** No LMM ***"
EEM,"ISHARES MSCI E.M.I.F","WOLVERINE TRADING, LLC"
EEP,"ENBRIDGE EGY PT LP","CITADEL SECURITIES LLC"
EFA,"ISHARES MSCI EAFE ET","*** No LMM ***"
EGHT,"8X8 INC","CITADEL SECURITIES LLC"
EGN,"ENERGEN CP","WOLVERINE TRADING, LLC"
EGO,"ELDORADO GOLD CORP","WOLVERINE TRADING, LLC"
EHTH,"EHEALTH, INC.","*** No LMM ***"
EIGI,"ENDURANCE INT GRP","*** No LMM ***"
EIX,"EDISON INTL","CITADEL SECURITIES LLC"
EJ,"E-HOUSE HOLDINGS ADR","*** No LMM ***"
EL,"ESTEE LAUDER COS INC","WOLVERINE TRADING, LLC"
ELLI,"ELLIE MAE, INC.","WOLVERINE TRADING, LLC"
ELNK,"EARTHLINK HLDS CMN","WOLVERINE TRADING, LLC"
ELY,"CALLAWAY GOLF CP","*** No LMM ***"
EMC,"E M C CP","WOLVERINE TRADING, LLC"
EMES,"EMERGE ENERGY SVCS","MORGAN STANLEY & CO. LLC"
EMN,"EASTMAN CHEM CO","*** No LMM ***"
EMR,"EMERSON ELEC CO","SUSQUEHANNA SECURITIES"
ENB,"ENBRIDGE INC","*** No LMM ***"
ENDP,"ENDO INT'L PLC","*** No LMM ***"
ENLK,"ENLINK MIDSTREAM PRT","*** No LMM ***"
ENOC,"ENERNOC, INC.","CITADEL SECURITIES LLC"
ENPH,"ENPHASE ENERGY, INC.","*** No LMM ***"
ENS,"ENERSYS","*** No LMM ***"
ENT,"GLOBAL EAGLE ENTRTN","WOLVERINE TRADING, LLC"
ENTG,"ENTEGRIS INC","*** No LMM ***"
ENVA,"ENOVA INT'L INC","*** No LMM ***"
EOG,"EOG RESOURCES INC","SUSQUEHANNA SECURITIES"
EPC,"EDGEWELL PERSONAL","CITADEL SECURITIES LLC"
EPD,"ENTERPRISE PT UTS","WOLVERINE TRADING, LLC"
EPE,"EP ENERGY CORP.","*** No LMM ***"
EPI,"WISDOMTREE INDIA","SUSQUEHANNA SECURITIES"
EPZM,"EPIZYME, INC CMN STK","*** No LMM ***"
EQC,"Equity Commonwealth","WOLVERINE TRADING, LLC"
EQIX,"EQUINIX, INC.","CITADEL SECURITIES LLC"
EQM,"EQT MIDSTREAM PRTNRS","*** No LMM ***"
EQR,"EQUITY RESIDENTAL","TIMBER HILL LLC"
EQT,"EQT CORPORATION","WOLVERINE TRADING, LLC"
ERF,"ENERPLUS CORP","CITADEL SECURITIES LLC"
ERIC,"ERICSSON ADR","WOLVERINE TRADING, LLC"
ERX,"ENERGY BULL 3X","SUSQUEHANNA SECURITIES"
ERY,"ENERGY DAILY BEAR 3X","CITADEL SECURITIES LLC"
ES,"Eversource Energy","WOLVERINE TRADING, LLC"
ESI,"I T T EDUCATION SVCS","WOLVERINE TRADING, LLC"
ESPR,"ESPERION THERAPTC CM","*** No LMM ***"
ESRX,"EXPRESS SCRIPTS","SUSQUEHANNA SECURITIES"
ESV,"ENSCO PLC","CITADEL SECURITIES LLC"
ETE,"ENRGY TRANSFER EQ LP","MORGAN STANLEY & CO. LLC"
ETFC,"E*TRADE FINL CORP","WOLVERINE TRADING, LLC"
ETN,"EATON CP PLC","MORGAN STANLEY & CO. LLC"
ETP,"ENERGY TRANSFER PRNT","MORGAN STANLEY & CO. LLC"
ETR,"ENTERGY CP","CITADEL SECURITIES LLC"
ETSY,"ETSY INC COMMON STK","*** No LMM ***"
EUO,"PROSHS ULTRASHT EURO","GOLDMAN, SACHS & CO."
EVEP,"EV ENERGY PARTNERS","MORGAN STANLEY & CO. LLC"
EVR,"EVERCORE PARTNERS IN","*** No LMM ***"
EW,"EDWARDS LIFESCIENCES","CITADEL SECURITIES LLC"
EWA,"ISHARE MSCI AUSTRALI","SUSQUEHANNA SECURITIES"
EWC,"ISHARE MSCI CANADA","SUSQUEHANNA SECURITIES"
EWG,"ISHARE MSCI GERMANY","CITADEL SECURITIES LLC"
EWH,"ISHARE MSCI HONGKONG","WOLVERINE TRADING, LLC"
EWJ,"ISHARE MSCI JAPAN IN","WOLVERINE TRADING, LLC"
EWT,"ISHARE MSCI TAIWAN","*** No LMM ***"
EWW,"ISHARE MSCI MEXICO","*** No LMM ***"
EWY,"ISHARE MSCI SO.KOREA","TIMBER HILL LLC"
EWZ,"ISHARE MSCI BRAZIL","WOLVERINE TRADING, LLC"
EXAM,"EXAMWORKS GROUP, INC","CITADEL SECURITIES LLC"
EXAS,"EXACT SCIENCES COR","MORGAN STANLEY & CO. LLC"
EXC,"EXELON CORPORATION","*** No LMM ***"
EXEL,"EXELIXIS, INC.","MORGAN STANLEY & CO. LLC"
EXK,"ENDEAVOUR SILVER COR","MORGAN STANLEY & CO. LLC"
EXP,"EAGLE MATERIALS INC","*** No LMM ***"
EXPD,"EXPEDITORS INTL","WOLVERINE TRADING, LLC"
EXPE,"EXPEDIA, INC.","CITADEL SECURITIES LLC"
EXPR,"EXPRESS, INC.","WOLVERINE TRADING, LLC"
EXXI,"ENERGY XXI LTD","WOLVERINE TRADING, LLC"
EYES,"SECOND SIGHT CMN","*** No LMM ***"
EZPW,"EZCORP, INC.","GOLDMAN, SACHS & CO."
F,"FORD MOTOR CO","GOLDMAN, SACHS & CO."
FANG,"DIAMONDBACK ENERGY","WOLVERINE TRADING, LLC"
FAS,"FINANCIAL BULL 3XNEW","GOLDMAN, SACHS & CO."
FAST,"FASTENAL CO","WOLVERINE TRADING, LLC"
FAZ,"FINANCIAL BEAR 3XNEW","MORGAN STANLEY & CO. LLC"
FB,"FACEBOOK INC","MORGAN STANLEY & CO. LLC"
FBHS,"FORTUNE BRANDS HOME","CITADEL SECURITIES LLC"
FBIO,"FORTRESS BIOTECH INC","CITADEL SECURITIES LLC"
FCAU,"FIAT CHRYSLER AUTO N","*** No LMM ***"
FCEL,"FUELCELL ENERGY INC","CITADEL SECURITIES LLC"
FCN,"FTI CONSULTING INC","SUSQUEHANNA SECURITIES"
FCS,"FAIRCHILD SEMI CMN","CITADEL SECURITIES LLC"
FCX,"FREEPORT MCMORAN","WOLVERINE TRADING, LLC"
FDC,"FIRST DATA CORP","*** No LMM ***"
FDS,"FACTSET RESEARCH SYS","CITADEL SECURITIES LLC"
FDX,"FEDEX CORP","CITADEL SECURITIES LLC"
FE,"FIRSTENERGY CP","WOLVERINE TRADING, LLC"
FENG,"PHOENIX NEW MEDIA","WOLVERINE TRADING, LLC"
FEYE,"FireEye, Inc.","WOLVERINE TRADING, LLC"
FFIV,"F5 NETWORKS, INC.","SUSQUEHANNA SECURITIES"
FGP,"FERRELLGAS PARTNERS","*** No LMM ***"
FHN,"FIRST HORIZON NTL CP","*** No LMM ***"
FIG,"FORTRESS INV GP LLC","WOLVERINE TRADING, LLC"
FINL,"FINISH LINE CL A","*** No LMM ***"
FIS,"FIDELITY NAT INF SVC","SUSQUEHANNA SECURITIES"
FISV,"FISERV, INC.","*** No LMM ***"
FIT,"Fitbit, Inc.","GOLDMAN, SACHS & CO."
FITB,"FIFTH THIRD BNCP","WOLVERINE TRADING, LLC"
FIVE,"FIVE BELOW, INC.","SUSQUEHANNA SECURITIES"
FL,"FOOT LOCKER, INC.","WOLVERINE TRADING, LLC"
FLDM,"Fluidigm Corporation","SUSQUEHANNA SECURITIES"
FLEX,"FLEXTRONICS INTL LTD","WOLVERINE TRADING, LLC"
FLML,"FLAMEL TECHNOLOGIES","*** No LMM ***"
FLOW,"SPX FLOW, INC.","*** No LMM ***"
FLR,"FLUOR CP (NEW)","SUSQUEHANNA SECURITIES"
FLS,"FLOWSERVE CP","*** No LMM ***"
FLT,"FLEETCOR TECH","SUSQUEHANNA SECURITIES"
FLTX,"FLEETMATICS GROUP","CITADEL SECURITIES LLC"
FLY,"FLY LEASING LTD","*** No LMM ***"
FMC,"F M C CP","*** No LMM ***"
FMI,"FOUNDATION MEDICINE","*** No LMM ***"
FMSA,"FAIRMOUNT SANTROL","*** No LMM ***"
FNF,"FNF GROUP","WOLVERINE TRADING, LLC"
FNFG,"FIRST NIAGARA FINL","*** No LMM ***"
FNSR,"FINISAR CORP","GOLDMAN, SACHS & CO."
FNV,"FRANCO-NEV CORP","CITADEL SECURITIES LLC"
FOLD,"Amicus Therapeutics","MORGAN STANLEY & CO. LLC"
FOSL,"FOSSIL GROUP CMN STK","TIMBER HILL LLC"
FOX,"21ST CENTRY FOX B CM","CITADEL SECURITIES LLC"
FOXA,"21ST CENTRY FOX A CM","GOLDMAN, SACHS & CO."
FRAN,"FRANCESCA'S HOLDINGS","WOLVERINE TRADING, LLC"
FRGI,"FIESTA RESTAURANT GP","*** No LMM ***"
FRO,"FRONTLINE LTD","GOLDMAN, SACHS & CO."
FRPT,"FRESHPET INC CS","*** No LMM ***"
FRSH,"PAPA MURPHYS HLD COM","*** No LMM ***"
FSC,"FIFTH STREET FINANCE","*** No LMM ***"
FSLR,"FIRST SOLAR, INC.","MORGAN STANLEY & CO. LLC"
FTI,"FMC TECHNOLOGIES INC","SUSQUEHANNA SECURITIES"
FTK,"FLOTEK INDS INC (DE)","WOLVERINE TRADING, LLC"
FTNT,"FORTINET, INC.","CITADEL SECURITIES LLC"
FTR,"FRONTIER COMMUN CP","CITADEL SECURITIES LLC"
FUEL,"Rocket Fuel Inc.","GOLDMAN, SACHS & CO."
FWM,"FAIRWAY GP HLD CL A","WOLVERINE TRADING, LLC"
FXA,"CRRNCYSHR AUS DLR TR","WOLVERINE TRADING, LLC"
FXC,"CRRNCYSHRS CAN DL TR","CITADEL SECURITIES LLC"
FXCM,"FXCM INC.","*** No LMM ***"
FXE,"CURRENCYSHARES EURO","WOLVERINE TRADING, LLC"
FXI,"ISHARES CHINA","WOLVERINE TRADING, LLC"
FXP,"PROSHARES ULTRASHORT","WOLVERINE TRADING, LLC"
FXY,"CRNCYSHRS JPN YEN TR","WOLVERINE TRADING, LLC"
G,"GENPACT LIMITED","WOLVERINE TRADING, LLC"
GALE,"GALENA BIOPHARMA, IN","CITADEL SECURITIES LLC"
GALT,"GALECTIN THERAPEUTIC","MORGAN STANLEY & CO. LLC"
GASL,"DXN DLY NAT GAS 3X B","*** No LMM ***"
GBX,"GREENBRIER CO INC","MORGAN STANLEY & CO. LLC"
GD,"GEN DYNAMICS CP","WOLVERINE TRADING, LLC"
GDDY,"GoDaddy Inc.","GOLDMAN, SACHS & CO."
GDOT,"GREEN DOT CORP","CITADEL SECURITIES LLC"
GDX,"MKT VECT GOLD MNRS","TIMBER HILL LLC"
GDXJ,"MARKET VECTORS JUNIO","SUSQUEHANNA SECURITIES"
GE,"GEN ELECTRIC CO","CITADEL SECURITIES LLC"
GEL,"GENESIS ENERGY LP","*** No LMM ***"
GEO,"GEO GROUP INC (THE)","SUSQUEHANNA SECURITIES"
GEOS,"GEOSPACE TECHNOLOGIE","CITADEL SECURITIES LLC"
GERN,"GERON CORPORATION","MORGAN STANLEY & CO. LLC"
GES,"GUESS INC.","*** No LMM ***"
GFI,"GOLD FIELDS LIMITED","WOLVERINE TRADING, LLC"
GG,"GOLDCORP INC","WOLVERINE TRADING, LLC"
GGAL,"GRUPO FIN GALICIA","SUSQUEHANNA SECURITIES"
GGB,"GERDAU SA ADS","*** No LMM ***"
GGP,"GEN'L GROWTH PPTIES","TIMBER HILL LLC"
GIII,"G-III APPAREL GP I","*** No LMM ***"
GIL,"GILDAN ACTIVEWEAR","*** No LMM ***"
GILD,"GILEAD SCIENCES, INC","SUSQUEHANNA SECURITIES"
GIMO,"GIGAMON INC.","MORGAN STANLEY & CO. LLC"
GIS,"GEN MILLS INC","WOLVERINE TRADING, LLC"
GLD,"SPDR GOLD SHARES","TIMBER HILL LLC"
GLF,"GULFMARK OFFSHRE NEW","*** No LMM ***"
GLNG,"GOLAR LNG LTD","SUSQUEHANNA SECURITIES"
GLOG,"GASLOG LTD.","MORGAN STANLEY & CO. LLC"
GLPI,"GAMING & LEISURE","*** No LMM ***"
GLUU,"GLU MOBILE INC.","MORGAN STANLEY & CO. LLC"
GLW,"CORNING INC","WOLVERINE TRADING, LLC"
GM,"GENERAL MOTORS CO","*** No LMM ***"
GME,"GAMESTOP CORP","SUSQUEHANNA SECURITIES"
GMLP,"GOLAR LNG PARTNERS","*** No LMM ***"
GNC,"GNC HOLDINGS","TIMBER HILL LLC"
GNE,"GENIE ENERGY LTD.","*** No LMM ***"
GNRC,"GENERAC HLDS INC","SUSQUEHANNA SECURITIES"
GNTX,"GENTEX CORP","*** No LMM ***"
GNW,"GENWORTH FINANCIAL","WOLVERINE TRADING, LLC"
GOGL,"GOLDEN OCEAN GP CMN","SUSQUEHANNA SECURITIES"
GOGO,"GOGO INC CMN STK","SUSQUEHANNA SECURITIES"
GOL,"GOL LINHAS AEREAS IN","WOLVERINE TRADING, LLC"
GOLD,"RANDGOLD RES LTD","WOLVERINE TRADING, LLC"
GOOG,"ALPHABET CL C CAP","GOLDMAN, SACHS & CO."
GOOGL,"ALPHABET CL A CMN","MORGAN STANLEY & CO. LLC"
GORO,"GOLD RESOURCE CORP","WOLVERINE TRADING, LLC"
GOV,"GOVERNMENT PROPERTIE","*** No LMM ***"
GPC,"GENUINE PARTS CO","*** No LMM ***"
GPK,"GRAPHIC PACKAGING HO","*** No LMM ***"
GPN,"GLOBAL PAYMENTS INC","*** No LMM ***"
GPOR,"GULFPORT ENERGY CORP","CITADEL SECURITIES LLC"
GPRE,"GREEN PLAINS INC CMN","GOLDMAN, SACHS & CO."
GPRO,"GOPRO INC CL A CMN","GOLDMAN, SACHS & CO."
GPS,"GAP INC","*** No LMM ***"
GRA,"GRACE W R CO NEW","CITADEL SECURITIES LLC"
GRFS,"GRIFOLS, S.A.","CITADEL SECURITIES LLC"
GRMN,"GARMIN LTD","*** No LMM ***"
GRPN,"GROUPON CL A CMN","*** No LMM ***"
GRUB,"GRUBHUB, INC.","*** No LMM ***"
GS,"GOLDMAN SACHS GRP","SUSQUEHANNA SECURITIES"
GSAT,"Globalstar Inc","GOLDMAN, SACHS & CO."
GSK,"GLAXOSMITHKLINE PLC","*** No LMM ***"
GSM,"FERROGLOBE PLC OS","*** No LMM ***"
GST,"GASTAR EXPL INC.","MORGAN STANLEY & CO. LLC"
GSVC,"GSV CAPITAL CP CMN","MORGAN STANLEY & CO. LLC"
GT,"GOODYEAR TIRE RUBBER","WOLVERINE TRADING, LLC"
GTLS,"CHART INDUSTRIES, IN","MORGAN STANLEY & CO. LLC"
